,ID,age,height_cm,weight_kg,overall,pac,sho,pas,dri,def,phy,skill_moves,weak_foot,work_rate_att,work_rate_def,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle
13620,229348,19,181.0,64.0,62,84,34,41,60,61,49,2,2,Medium,Medium,55,33,52,37,32,65,35,39,33,52,82,85,54,63,67,32,54,57,43,31,55,60,49,40,45,42,59,64,65
13729,224263,20,176.0,67.0,61,71,33,53,53,60,61,2,3,High,Medium,61,28,62,57,33,50,53,34,50,52,68,73,64,53,71,44,71,62,60,30,59,55,35,46,53,48,59,62,60
13809,220710,20,173.0,70.0,61,76,58,55,64,34,43,2,3,Medium,Medium,55,61,47,56,50,63,56,62,54,62,77,76,69,50,84,60,45,50,45,53,31,21,56,52,61,53,36,37,36
14197,236464,19,185.0,64.0,61,78,56,49,58,22,62,3,3,High,Low,48,57,66,51,44,58,41,43,41,60,77,78,52,55,66,56,61,62,73,55,33,17,59,54,66,53,16,18,22
14271,233934,19,188.0,77.0,61,62,59,53,68,35,58,1,3,Medium,Medium,15,14,25,21,18,28,16,29,19,26,33,36,45,50,52,35,58,35,51,19,35,12,5,41,28,39,12,11,19
14466,237337,17,173.0,65.0,60,65,53,57,67,35,42,3,3,Medium,Medium,61,47,45,60,53,71,55,42,55,65,64,66,61,46,81,69,46,54,36,48,39,20,51,52,70,52,35,37,49
14549,232757,19,172.0,60.0,60,63,50,61,64,45,45,3,3,Medium,Medium,56,49,31,63,48,64,56,53,61,63,61,65,72,48,73,54,34,60,37,51,48,44,50,66,50,62,40,52,51
14558,228407,20,181.0,67.0,60,58,47,58,61,50,58,2,3,Medium,Medium,44,42,58,67,51,58,46,47,63,62,51,64,67,58,68,54,64,54,59,47,59,51,62,57,53,50,49,47,54
14560,232759,18,178.0,74.0,60,67,36,49,62,58,58,2,2,Medium,Medium,55,27,41,55,28,62,47,29,46,61,65,68,63,54,73,48,58,60,56,45,59,59,37,41,40,56,59,61,60
14674,227681,22,180.0,73.0,60,70,60,45,55,23,58,2,3,High,Medium,35,63,57,52,48,50,44,34,40,59,74,67,59,58,65,60,69,62,63,55,37,20,57,51,58,53,20,16,23
14824,235161,18,180.0,67.0,60,74,60,50,61,22,53,3,3,Medium,Medium,43,62,50,54,54,61,61,37,49,62,71,77,55,58,64,66,53,50,61,55,38,14,47,52,63,51,17,22,23
14896,213686,22,178.0,72.0,60,71,31,49,56,56,63,2,3,Medium,Medium,55,25,44,55,30,56,27,32,53,53,70,72,61,57,67,38,64,61,65,29,62,62,49,40,39,49,55,56,60
14897,225462,21,173.0,68.0,60,76,56,52,63,21,49,2,2,Medium,Low,35,57,55,60,52,63,56,37,54,59,79,74,66,61,78,57,59,57,50,50,34,13,59,58,61,52,18,19,21
14928,235458,20,196.0,95.0,60,59,32,36,41,55,80,2,2,Low,Medium,32,26,58,44,28,35,28,28,28,41,57,60,50,57,59,49,71,63,92,30,75,48,27,36,36,44,52,60,55
15010,230882,20,178.0,83.0,60,54,33,35,40,63,61,2,2,Medium,Medium,37,30,63,34,37,37,29,36,36,39,52,55,45,49,62,43,72,61,66,26,48,59,27,33,45,52,59,67,66
15033,223977,19,170.0,62.0,60,81,50,47,65,17,43,3,2,High,Medium,50,54,35,47,34,66,41,29,39,58,79,82,77,54,74,50,48,62,33,41,42,14,57,55,59,50,14,19,12
15117,225543,20,184.0,69.0,59,60,56,56,62,43,57,1,2,Medium,Medium,20,15,21,29,19,20,19,12,26,27,41,45,33,56,63,26,55,25,51,16,20,20,11,23,25,28,13,19,17
15121,234249,18,191.0,77.0,59,57,58,43,56,28,66,2,3,High,Medium,33,58,60,52,54,54,38,28,31,60,50,63,59,52,59,65,63,63,71,53,59,18,58,49,55,54,29,26,23
15132,234252,18,185.0,80.0,59,59,28,33,43,59,65,2,2,Medium,High,33,22,54,34,31,34,33,34,29,50,55,62,56,51,61,41,69,59,67,22,64,58,35,33,49,52,59,60,59
15133,229901,18,200.0,79.0,59,35,28,40,53,57,65,2,3,Medium,Medium,24,25,53,55,23,50,26,31,50,60,35,35,56,50,30,33,73,58,74,26,47,57,26,30,40,50,56,59,61
15143,224017,21,183.0,77.0,59,55,42,58,55,56,63,2,3,Medium,Medium,49,42,57,64,38,53,44,51,61,55,52,58,57,52,64,43,60,46,73,39,58,49,37,61,53,53,54,60,58
15277,229718,18,185.0,70.0,59,67,52,62,62,40,50,3,3,High,Medium,50,47,43,65,39,60,65,70,64,63,68,66,65,53,70,68,60,55,49,57,43,43,42,62,40,53,37,40,39
15592,175603,30,197.0,101.0,59,67,54,54,61,53,54,1,3,Medium,Medium,17,15,14,26,12,13,11,11,23,22,52,54,55,51,28,25,58,15,70,16,37,10,16,33,21,54,14,14,11
15601,231673,18,184.0,77.0,59,66,47,57,60,48,59,2,3,Medium,Medium,41,44,49,64,33,56,48,46,64,63,62,69,72,53,70,56,60,57,66,51,45,53,42,61,47,48,45,47,46
15715,211505,22,191.0,84.0,58,51,32,39,38,59,63,2,3,Medium,Medium,38,27,63,43,35,33,36,35,38,39,54,48,42,56,48,51,70,63,67,22,50,59,27,37,45,50,58,58,57
15802,232544,21,186.0,76.0,58,55,54,58,62,45,58,3,3,High,Medium,53,52,52,64,55,61,54,50,60,65,56,55,59,56,58,66,57,53,68,45,40,30,55,55,64,61,42,52,55
15808,220774,20,183.0,68.0,58,69,32,39,53,58,62,2,3,Medium,Medium,47,24,58,40,38,51,29,33,35,49,66,71,64,56,65,43,68,64,63,31,56,59,32,38,48,51,55,60,57
15837,224887,20,175.0,72.0,58,71,61,41,55,17,49,2,3,Medium,Medium,33,63,53,49,42,51,41,29,29,59,73,69,58,48,73,62,64,57,52,63,30,12,48,47,68,57,15,13,12
15895,229266,19,190.0,76.0,58,55,29,37,41,60,58,2,3,Medium,High,34,23,52,45,34,38,25,32,38,40,62,49,47,45,60,43,65,42,70,24,47,58,23,31,40,50,60,64,61
16030,230640,21,188.0,76.0,58,65,60,42,55,22,57,2,3,Medium,Medium,34,59,63,48,51,56,44,32,36,51,67,64,59,51,55,64,58,61,66,60,30,17,50,44,62,52,15,19,18
16037,234743,18,183.0,71.0,58,67,54,45,57,29,65,3,3,Medium,Medium,35,58,62,49,48,54,47,48,42,60,65,69,69,52,59,56,67,66,68,43,58,26,54,49,55,50,25,25,24
16280,234645,20,175.0,75.0,57,58,35,36,57,62,52,2,3,High,Medium,45,37,51,31,36,70,35,36,30,36,60,56,60,59,42,32,59,55,49,29,56,61,46,39,45,38,57,68,67
16380,231639,20,178.0,72.0,57,65,33,45,55,56,60,2,2,Medium,Medium,52,30,52,47,27,56,39,34,43,49,67,63,59,54,69,41,55,68,58,28,58,56,44,39,37,43,54,58,56
16414,216299,21,180.0,76.0,57,65,49,54,57,54,62,3,4,Medium,Medium,44,44,30,62,59,58,52,32,57,59,67,64,49,57,57,49,39,55,70,58,57,54,50,54,56,58,53,60,61
16457,227854,19,183.0,74.0,56,55,26,48,48,57,59,2,3,Medium,Medium,40,22,55,61,25,42,39,23,29,60,60,51,35,49,64,38,70,60,62,19,46,53,28,54,39,45,55,61,59
16486,222503,20,186.0,74.0,56,60,54,54,57,34,50,1,2,Medium,Medium,16,14,18,29,17,16,13,14,26,24,33,34,32,55,41,24,42,32,41,19,28,23,15,20,31,24,16,14,18
16488,230697,20,180.0,68.0,56,62,55,60,61,44,49,3,3,Medium,Medium,59,53,52,63,56,59,56,57,60,62,63,62,65,61,61,65,53,34,58,46,45,31,53,56,60,63,43,46,56
16759,231172,20,188.0,75.0,55,53,54,56,54,28,55,1,2,Medium,Medium,11,8,14,52,9,12,12,11,40,40,30,26,40,50,39,17,52,41,64,5,40,9,4,32,11,40,9,22,11
17066,233528,19,180.0,65.0,54,88,52,39,49,17,55,2,2,Medium,Medium,28,55,46,48,35,46,36,30,30,44,86,89,72,50,71,52,59,66,58,48,31,17,49,43,51,45,11,15,14
17125,221545,20,183.0,66.0,54,63,46,59,53,40,50,2,3,Medium,Medium,48,43,47,70,42,51,48,42,66,52,62,63,58,49,66,56,53,33,62,42,40,29,50,51,51,57,35,47,51
17388,230807,19,177.0,70.0,53,61,28,34,52,52,56,2,3,Medium,Medium,47,25,45,29,28,56,31,30,29,41,65,57,60,51,72,28,66,58,55,26,51,56,50,37,34,38,46,55,59
17483,231681,19,186.0,74.0,52,57,43,46,54,36,52,1,2,Medium,Medium,14,15,11,18,14,15,13,11,21,20,33,38,32,52,54,22,52,18,44,11,17,14,15,21,22,30,14,13,12
